iter	RMSE
405	9497638.101
406	9461221.783
407	9424945.094
408	9388807.499
409	9352808.464
410	9316947.459
411	9281223.954
412	9245637.422
413	9210187.338
414	9174873.177
415	9139694.421
416	9104650.548
417	9069741.043
418	9034965.389
419	9000323.073
420	8965813.585
421	8931436.415
422	8897191.056
423	8863077.002
424	8829093.75
425	8795240.798
426	8761517.646
427	8727923.798
428	8694458.757
429	8661122.029
430	8627913.123
431	8594831.548
432	8561876.816
433	8529048.44
434	8496345.937
435	8463768.823
436	8431316.618
437	8398988.843
438	8366785.021
439	8334704.676
440	8302747.335
441	8270912.527
442	8239199.781
443	8207608.63
444	8176138.608
445	8144789.249
446	8113560.091
447	8082450.674
448	8051460.538
449	8020589.226
450	7989836.283
451	7959201.254
452	7928683.687
453	7898283.132
454	7867999.141
455	7837831.266
456	7807779.062
457	7777842.086
458	7748019.895
459	7718312.051
460	7688718.113
461	7659237.647
462	7629870.215
463	7600615.386
464	7571472.727
465	7542441.808
466	7513522.201
467	7484713.48
468	7456015.218
469	7427426.992
470	7398948.38
471	7370578.963
472	7342318.321
473	7314166.038
474	7286121.698
475	7258184.886
476	7230355.191
477	7202632.202
478	7175015.511
479	7147504.708
480	7120099.389
481	7092799.148
482	7065603.584
483	7038512.294
484	7011524.878
485	6984640.94
486	6957860.081
487	6931181.906
488	6904606.023
489	6878132.038
490	6851759.56
491	6825488.202
492	6799317.574
493	6773247.291
494	6747276.969
495	6721406.222
496	6695634.671
497	6669961.934
498	6644387.633
499	6618911.391
500	6593532.83
501	6568251.578
502	6543067.259
503	6517979.504
504	6492987.942
505	6468092.204
506	6443291.922
507	6418586.73
508	6393976.264
509	6369460.161
510	6345038.059
511	6320709.598
512	6296474.417
513	6272332.161
514	6248282.472
515	6224324.995
516	6200459.378
517	6176685.267
518	6153002.312
519	6129410.163
520	6105908.473
521	6082496.894
522	6059175.081
523	6035942.689
524	6012799.376
525	5989744.801
526	5966778.622
527	5943900.502
528	5921110.102
529	5898407.086
530	5875791.119
531	5853261.867
532	5830818.999
533	5808462.181
534	5786191.086
535	5764005.383
536	5741904.746
537	5719888.848
538	5697957.365
539	5676109.972
540	5654346.348
541	5632666.171
542	5611069.121
543	5589554.88
544	5568123.129
545	5546773.554
546	5525505.838
547	5504319.667
548	5483214.73
549	5462190.715
550	5441247.31
551	5420384.208
552	5399601.101
553	5378897.68
554	5358273.642
555	5337728.682
556	5317262.496
557	5296874.783
558	5276565.241
559	5256333.572
560	5236179.475
561	5216102.654
562	5196102.813
563	5176179.656
564	5156332.89
565	5136562.221
566	5116867.358
567	5097248.009
568	5077703.887
569	5058234.701
570	5038840.165
571	5019519.993
572	5000273.898
573	4981101.599
574	4962002.81
575	4942977.251
576	4924024.641
577	4905144.7
578	4886337.15
579	4867601.712
580	4848938.11
581	4830346.07
582	4811825.316
583	4793375.575
584	4774996.575
585	4756688.045
586	4738449.714
587	4720281.314
588	4702182.575
589	4684153.232
590	4666193.018
591	4648301.668
592	4630478.918
593	4612724.504
594	4595038.166
595	4577419.641
596	4559868.67
597	4542384.994
598	4524968.355
599	4507618.495
600	4490335.159
601	4473118.092
602	4455967.039
603	4438881.748
604	4421861.966
605	4404907.442
606	4388017.926
607	4371193.169
608	4354432.922
609	4337736.938
610	4321104.97
611	4304536.774
612	4288032.104
613	4271590.717
614	4255212.371
615	4238896.823
616	4222643.834
617	4206453.162
618	4190324.569
619	4174257.817
620	4158252.67
621	4142308.89
622	4126426.242
623	4110604.493
624	4094843.408
625	4079142.755
626	4063502.302
627	4047921.819
628	4032401.075
629	4016939.841
630	4001537.89
631	3986194.994
632	3970910.926
633	3955685.461
634	3940518.374
635	3925409.442
636	3910358.441
637	3895365.15
638	3880429.346
639	3865550.81
640	3850729.323
641	3835964.664
642	3821256.617
643	3806604.964
644	3792009.489
645	3777469.977
646	3762986.213
647	3748557.984
648	3734185.075
649	3719867.277
650	3705604.376
651	3691396.163
652	3677242.427
653	3663142.961
654	3649097.555
655	3635106.003
656	3621168.098
657	3607283.635
658	3593452.408
659	3579674.213
660	3565948.847
661	3552276.108
662	3538655.794
663	3525087.703
664	3511571.636
665	3498107.393
666	3484694.775
667	3471333.584
668	3458023.624
669	3444764.697
670	3431556.608
671	3418399.163
672	3405292.166
673	3392235.425
674	3379228.746
675	3366271.939
676	3353364.811
677	3340507.172
678	3327698.833
679	3314939.604
680	3302229.297
681	3289567.724
682	3276954.7
683	3264390.036
684	3251873.549
685	3239405.053
686	3226984.365
687	3214611.3
688	3202285.677
689	3190007.313
690	3177776.028
691	3165591.641
692	3153453.971
693	3141362.841
694	3129318.07
695	3117319.483
696	3105366.901
697	3093460.148
698	3081599.049
699	3069783.428
700	3058013.111
701	3046287.924
702	3034607.695
703	3022972.251
704	3011381.42
705	2999835.031
706	2988332.914
707	2976874.898
708	2965460.816
709	2954090.498
710	2942763.777
711	2931480.485
712	2920240.456
713	2909043.525
714	2897889.525
715	2886778.292
716	2875709.663
717	2864683.473
718	2853699.561
719	2842757.763
720	2831857.92
721	2820999.869
722	2810183.45
723	2799408.505
724	2788674.873
725	2777982.396
726	2767330.918
727	2756720.279
728	2746150.325
729	2735620.898
730	2725131.844
731	2714683.007
732	2704274.234
733	2693905.371
734	2683576.264
735	2673286.762
736	2663036.713
737	2652825.965
738	2642654.367
739	2632521.77
740	2622428.023
741	2612372.979
742	2602356.488
743	2592378.403
744	2582438.576
745	2572536.861
746	2562673.112
747	2552847.183
748	2543058.929
749	2533308.205
750	2523594.868
751	2513918.775
752	2504279.782
753	2494677.748
754	2485112.53
755	2475583.987
756	2466091.979
757	2456636.366
758	2447217.009
759	2437833.767
760	2428486.503
761	2419175.079
762	2409899.357
763	2400659.201
764	2391454.473
765	2382285.039
766	2373150.763
767	2364051.51
768	2354987.146
769	2345957.536
770	2336962.549
771	2328002.05
772	2319075.909
773	2310183.992
774	2301326.169
775	2292502.31
776	2283712.283
777	2274955.959
778	2266233.21
779	2257543.905
780	2248887.917
781	2240265.119
782	2231675.383
783	2223118.582
784	2214594.589
785	2206103.28
786	2197644.529
787	2189218.211
788	2180824.201
789	2172462.376
790	2164132.612
791	2155834.787
792	2147568.778
793	2139334.462
794	2131131.719
795	2122960.428
796	2114820.467
797	2106711.716
798	2098634.057
799	2090587.37
800	2082571.535
801	2074586.436
802	2066631.953
803	2058707.969
804	2050814.368
805	2042951.034
806	2035117.849
807	2027314.698
808	2019541.467
809	2011798.04
810	2004084.304
811	1996400.144
812	1988745.447
813	1981120.1
814	1973523.99
815	1965957.006
816	1958419.036
817	1950909.967
818	1943429.691
819	1935978.096
820	1928555.072
821	1921160.51
822	1913794.3
823	1906456.335
824	1899146.505
825	1891864.702
826	1884610.82
827	1877384.751
828	1870186.389
829	1863015.627
830	1855872.36
831	1848756.481
832	1841667.887
833	1834606.472
834	1827572.132
835	1820564.764
836	1813584.264
837	1806630.528
838	1799703.455
839	1792802.942
840	1785928.888
841	1779081.19
842	1772259.748
843	1765464.462
844	1758695.23
845	1751951.953
846	1745234.531
847	1738542.866
848	1731876.858
849	1725236.409
850	1718621.421
851	1712031.797
852	1705467.44
853	1698928.251
854	1692414.136
855	1685924.997
856	1679460.739
857	1673021.267
858	1666606.485
859	1660216.3
860	1653850.615
861	1647509.339
862	1641192.376
863	1634899.634
864	1628631.021
865	1622386.442
866	1616165.807
867	1609969.024
868	1603796
869	1597646.645
870	1591520.869
871	1585418.58
872	1579339.689
873	1573284.106
874	1567251.742
875	1561242.507
876	1555256.313
877	1549293.071
878	1543352.694
879	1537435.095
880	1531540.184
881	1525667.876
882	1519818.084
883	1513990.722
884	1508185.703
885	1502402.942
886	1496642.354
887	1490903.853
888	1485187.355
889	1479492.776
890	1473820.031
891	1468169.036
892	1462539.709
893	1456931.967
894	1451345.725
895	1445780.903
896	1440237.418
897	1434715.188
898	1429214.131
899	1423734.167
900	1418275.214
901	1412837.193
902	1407420.022
903	1402023.622
904	1396647.913
905	1391292.815
906	1385958.251
907	1380644.141
908	1375350.406
909	1370076.969
910	1364823.751
911	1359590.676
912	1354377.666
913	1349184.643
914	1344011.532
915	1338858.256
916	1333724.739
917	1328610.905
918	1323516.679
919	1318441.985
920	1313386.749
921	1308350.896
922	1303334.351
923	1298337.042
924	1293358.893
925	1288399.832
926	1283459.785
927	1278538.679
928	1273636.443
929	1268753.002
930	1263888.286
931	1259042.222
932	1254214.74
933	1249405.767
934	1244615.233
935	1239843.067
936	1235089.199
937	1230353.559
938	1225636.075
939	1220936.68
940	1216255.304
941	1211591.877
942	1206946.331
943	1202318.597
944	1197708.607
945	1193116.293
946	1188541.587
947	1183984.422
948	1179444.73
949	1174922.444
950	1170417.497
951	1165929.824
952	1161459.358
953	1157006.032
954	1152569.782
955	1148150.542
956	1143748.245
957	1139362.829
958	1134994.227
959	1130642.375
960	1126307.21
961	1121988.667
962	1117686.682
963	1113401.192
964	1109132.133
965	1104879.443
966	1100643.06
967	1096422.919
968	1092218.96
969	1088031.119
970	1083859.336
971	1079703.548
972	1075563.695
973	1071439.715
974	1067331.547
975	1063239.131
976	1059162.407
977	1055101.314
978	1051055.791
979	1047025.781
980	1043011.222
981	1039012.057
982	1035028.225
983	1031059.668
984	1027106.327
985	1023168.145
986	1019245.063
987	1015337.022
988	1011443.966
989	1007565.838
990	1003702.578
991	999854.1318
992	996020.4412
993	992201.4499
994	988397.1015
995	984607.34
996	980832.1094
997	977071.354
998	973325.0182
999	969593.0469
